Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
H125237-ND,HIROSE ELECTRIC CO LTD,ZX20-B-5S-UNIT(30),P1,5,0,0,8 Weeks,CONN PLUG USB MICRO B PCB VERT,,RoHS Compliant,Lead free,Not Available
H11496CT-ND,HIROSE ELECTRIC CO LTD (VA),ZX20-B-SLDC,P1,5,0,0,8 Weeks,SHIELDING PLATE FOR ZX20 PLUG,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
428-3155-1-ND,CYPRESS SEMICONDUCTOR CORP (VA),CY7C65632-48AXCT,U1,1,0,0,15 Weeks,IC CONTROLLER USB 48TQFP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
AP2191DWG-7DICT-ND,DIODES INCORPORATED (VA),AP2191DWG-7,U2,4,0,0,12 Weeks,IC PWR SW USB SOT25,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
P964-ND,PANASONIC ELECTRONIC COMPONENTS,ECE-A1AKS221,C1,4,0,0,15 Weeks,CAP ALUM 220UF 20% 10V RADIAL,,RoHS Compliant,Lead free,Unaffected Jun-2016
WM1399CT-ND,"MOLEX, LLC (VA)",1050170001,P6,1,0,0,17 Weeks,CONN RCPT MICRO USB R/A SMD,,RoHS Compliant,Lead free,Unaffected Jun-2016
535-9037-ND,ABRACON LLC,ABL-12.000MHZ-B2,Y1,1,0,0,9 Weeks,CRYSTAL 12.0000MHZ 18PF T/H,,RoHS Compliant,Lead free,Affected Jan-2017
311-1088-1-ND,YAGEO (VA),CC0603KRX7R7BB104,C*,15,0,0,16 Weeks,CAP CER 0.1UF 16V X7R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
1276-1946-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL10B105KP8NNNC,C13,3,0,0,18 Weeks,CAP CER 1UF 10V X7R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
1276-1187-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL10C200JB8NNNC,C8,2,0,0,26 Weeks,CAP CER 20PF 50V C0G/NP0 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
1276-6456-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21A106KPFNNNG,C7,1,0,0,26 Weeks,CAP CER 10UF 10V X5R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
587-1932-1-ND,TAIYO YUDEN (VA),BKP2125HS600-T,FB1,1,0,0,6 Weeks,FERRITE BEAD 60 OHM 0805 1LN,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
311-10KGRCT-ND,YAGEO (VA),RC0603JR-0710KL,R1,10,0,0,16 Weeks,RES SMD 10K OHM 5% 1/10W 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
311-649HRCT-ND,YAGEO (VA),RC0603FR-07649RL,R9,1,0,0,16 Weeks,RES SMD 649 OHM 1% 1/10W 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
311-47KGRCT-ND,YAGEO (VA),RC0603JR-0747KL,R7,1,0,0,16 Weeks,RES SMD 47K OHM 5% 1/10W 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
